City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hithadhoo,-0.6,73.0833,85.15,68,100,14.61,MV,1651351809
Waddān,29.1614,16.139,81.12,16,73,24.61,LY,1651351809
Bluff,-46.6,168.3333,63.81,64,100,11.83,NZ,1651351809
Dikson,73.5069,80.5464,17.49,94,100,19.01,RU,1651351809
New Norfolk,-42.7826,147.0587,58.5,67,100,4.0,AU,1651351809
Ushuaia,-54.8,-68.3,42.46,81,0,0.0,AR,1651351809
Touros,-5.1989,-35.4608,80.4,74,15,15.59,BR,1651351809
Manyana,-23.4,21.7167,64.36,39,1,8.97,BW,1651351809
Fjerritslev,57.0813,9.2664,46.26,62,98,3.09,DK,1651351809
Vaini,-21.2,-175.2,77.16,94,100,9.22,TO,1651351809
Torbay,47.6666,-52.7314,44.76,96,100,4.61,CA,1651351809
Qaanaaq,77.484,-69.3632,14.74,76,80,2.57,GL,1651351809
Healesville,-37.65,145.5167,56.52,83,97,1.01,AU,1651351809
Puerto Ayora,-0.7393,-90.3518,80.56,79,88,8.48,EC,1651351809
Huarmey,-10.0681,-78.1522,71.31,76,74,10.85,PE,1651351809
Ixtapa,20.7,-105.2,92.39,23,95,8.9,MX,1651351809
Adrar,20.5022,-10.0711,81.91,10,0,7.9,MR,1651351809
Atuona,-9.8,-139.0333,78.8,76,9,12.57,PF,1651351809
Mae Hong Son,19.3003,97.9685,70.48,95,95,1.23,TH,1651351809
Sovetskiy,61.3614,63.5842,32.02,65,95,9.64,RU,1651351809
Cidreira,-30.1811,-50.2056,65.91,71,100,11.68,BR,1651351809
Quatre Cocos,-20.2078,57.7625,77.11,80,44,10.25,MU,1651351809
Zhezkazgan,47.8043,67.7144,66.9,34,100,3.74,KZ,1651351809
Punta Arenas,-53.15,-70.9167,42.91,81,40,9.22,CL,1651351809
La Ronge,55.1001,-105.2842,41.25,70,75,9.22,CA,1651351809
Zhigansk,66.7697,123.3711,30.63,97,100,30.15,RU,1651351809
Cossato,45.5739,8.1817,58.37,68,100,3.87,IT,1651351809
Saint Anthony,45.0205,-93.218,54.09,89,100,16.11,US,1651351809
Wapi Pathum,15.8452,103.3768,79.32,80,100,7.61,TH,1651351809
Freetown,8.484,-13.2299,82.11,74,58,9.22,SL,1651351809
Bethel,41.3712,-73.414,65.8,33,0,9.22,US,1651351809
Half Moon Bay,37.4636,-122.4286,75.88,74,100,20.71,US,1651351809
Kaitangata,-46.2817,169.8464,53.55,77,99,4.14,NZ,1651351809
Coquimbo,-29.9533,-71.3436,58.73,77,0,10.36,CL,1651351809
Yellowknife,62.456,-114.3525,36.12,51,0,9.22,CA,1651351809
Port Macquarie,-31.4333,152.9167,56.89,87,6,8.88,AU,1651351809
Jamestown,42.097,-79.2353,67.51,20,0,6.91,US,1651351809
Gerāsh,27.6652,54.1371,71.74,47,0,5.75,IR,1651351809
Alpena,45.0617,-83.4327,53.85,42,0,14.97,US,1651351809
Anzio,41.4853,12.6179,59.36,91,2,3.22,IT,1651351809
Hilo,19.7297,-155.09,79.29,85,100,10.36,US,1651351809
Iqaluit,63.7506,-68.5145,24.53,79,75,10.36,CA,1651351809
Ostrovnoy,68.0531,39.5131,16.95,86,93,9.73,RU,1651351809
Lebu,-37.6167,-73.65,52.81,70,2,15.41,CL,1651351809
Mataura,-46.1927,168.8643,63.48,83,100,3.94,NZ,1651351809
Tanout,14.9709,8.8879,91.71,14,58,6.13,NE,1651351809
Jauja,-11.7758,-75.4966,57.0,57,95,5.73,PE,1651351809
Hobart,-42.8794,147.3294,58.86,62,75,10.36,AU,1651351809
Margate,51.3813,1.3862,48.31,76,100,1.01,GB,1651351809
Nikolskoye,59.7035,30.7861,39.79,72,100,6.96,RU,1651351809
Baker City,44.7749,-117.8344,49.59,76,100,17.27,US,1651351809
Bredasdorp,-34.5322,20.0403,55.72,87,34,5.39,ZA,1651351809
Talnakh,69.4865,88.3972,18.21,97,100,9.19,RU,1651351809
Rikitea,-23.1203,-134.9692,76.03,75,52,10.67,PF,1651351809
Piranshahr,36.701,45.1413,51.73,77,9,3.18,IR,1651351809
Salalah,17.0151,54.0924,86.09,79,40,5.75,OM,1651351809
Lagoa,39.05,-27.9833,60.76,87,0,10.11,PT,1651351809
Purpe,64.4803,76.6897,25.66,84,56,20.6,RU,1651351809
Palora,-1.7,-77.9333,68.11,96,99,1.28,EC,1651351809
Merauke,-8.4667,140.3333,79.39,86,100,12.77,ID,1651351809
Namie,37.4833,141.0,50.99,66,100,11.12,JP,1651351809
Kapaa,22.0752,-159.319,78.78,74,75,19.57,US,1651351809
Albany,42.6001,-73.9662,64.26,25,90,1.01,US,1651351809
Takoradze,4.8845,-1.7554,81.07,83,67,6.76,GH,1651351809
Srednekolymsk,67.45,153.6833,19.87,84,78,3.83,RU,1651351809
Saint-Philippe,-21.3585,55.7679,76.59,78,9,10.87,RE,1651351809
Ahipara,-35.1667,173.1667,62.44,79,11,6.38,NZ,1651351809
Ribeira Grande,38.5167,-28.7,64.8,77,20,9.22,PT,1651351809
Barrow,71.2906,-156.7887,19.42,86,20,9.22,US,1651351809
Arraial do Cabo,-22.9661,-42.0278,75.06,83,75,9.22,BR,1651351809
Kruisfontein,-34.0033,24.7314,53.89,82,6,6.91,ZA,1651351809
Hermanus,-34.4187,19.2345,58.62,86,63,3.53,ZA,1651351809
Carlsbad,33.1581,-117.3506,86.79,70,0,12.66,US,1651351809
Carnarvon,-24.8667,113.6333,62.67,59,0,9.22,AU,1651351809
Narsaq,60.9167,-46.05,55.62,63,34,2.48,GL,1651351809
Chicama,-7.8447,-79.1469,64.94,64,45,10.09,PE,1651351809
Cape Town,-33.9258,18.4232,59.92,80,0,5.75,ZA,1651351809
Anadyr,64.75,177.4833,30.7,63,20,11.18,RU,1651351809
Marawi,7.9986,124.2928,67.46,95,50,1.21,PH,1651351809
Te Anau,-45.4167,167.7167,54.59,91,100,8.97,NZ,1651351809
Avarua,-21.2078,-159.775,84.25,74,20,9.22,CK,1651351809
Vila Velha,-20.3297,-40.2925,80.55,84,20,8.05,BR,1651351809
Korla,41.7597,86.1469,57.7,29,5,3.27,CN,1651351809
Kalmunai,7.4167,81.8167,80.96,83,34,3.91,LK,1651351809
Hambantota,6.1241,81.1185,81.21,85,100,14.5,LK,1651351809
East London,-33.0153,27.9116,62.51,71,0,12.64,ZA,1651351809
Longyearbyen,78.2186,15.6401,12.04,62,0,9.22,SJ,1651351809
Maromitsa,59.8683,48.0123,22.84,94,15,4.16,RU,1651351809
Tandil,-37.3217,-59.1332,51.69,58,1,6.26,AR,1651351809
Khatanga,71.9667,102.5,1.89,100,93,7.7,RU,1651351809
Whitianga,-36.8333,175.7,62.17,83,38,8.93,NZ,1651351809
Souillac,-20.5167,57.5167,77.38,83,40,8.05,MU,1651351809
Kasangulu,-4.5911,15.1708,72.55,91,99,3.67,CD,1651351809
Arecibo,18.4724,-66.7157,81.66,88,100,4.0,PR,1651351809
Steinbach am Taunus,50.1667,8.5667,51.39,71,20,9.22,DE,1651351809
Bintulu,3.1667,113.0333,75.61,100,20,0.0,MY,1651351809
Kavieng,-2.5744,150.7967,82.02,73,100,2.93,PG,1651351809
Saint George,37.1041,-113.5841,83.79,11,0,5.01,US,1651351809
Arrondissement du Havre,49.5833,0.3333,48.6,76,0,6.91,FR,1651351809
Geraldton,-28.7667,114.6,54.01,76,0,9.22,AU,1651351809
Busselton,-33.65,115.3333,54.88,87,0,5.48,AU,1651351809
Sioux Lookout,50.1001,-91.917,55.47,28,100,10.36,CA,1651351809
Marondera,-18.1853,31.5519,52.32,52,0,3.89,ZW,1651351809
Butaritari,3.0707,172.7902,80.89,82,82,13.65,KI,1651351809
Berlevåg,70.8578,29.0864,28.4,73,96,17.76,NO,1651351809
Sitka,57.0531,-135.33,53.49,50,40,6.91,US,1651351809
Saint-Augustin,51.226,-58.6502,38.59,87,100,15.9,CA,1651351809
Vernon,50.2581,-119.2691,60.93,43,100,5.99,CA,1651351809
Cabo San Lucas,22.8909,-109.9124,85.6,55,60,9.84,MX,1651351809
Caarapó,-22.6342,-54.8222,77.4,62,15,5.84,BR,1651351809
Williston,48.147,-103.618,60.04,39,96,8.01,US,1651351809
Beloha,-25.1667,45.05,67.73,83,5,6.96,MG,1651351809
Airai,-8.9266,125.4092,59.61,83,82,3.09,TL,1651351809
Hualmay,-11.0964,-77.6139,70.18,77,72,10.38,PE,1651351809
Lata,40.1629,-8.3327,54.57,82,0,2.17,PT,1651351809
Masallātah,32.6167,14.0,60.84,85,62,21.92,LY,1651351809
Arua,3.0201,30.9111,65.25,87,58,2.33,UG,1651351809
George Town,5.4112,100.3354,82.33,93,20,3.44,MY,1651351809
Thompson,55.7435,-97.8558,42.96,56,100,11.5,CA,1651351809
Norman Wells,65.282,-126.8329,44.64,49,0,11.5,CA,1651351809
Bengkulu,-3.8004,102.2655,75.72,90,91,5.59,ID,1651351809
Bani Walid,31.7566,13.9942,61.57,72,48,20.87,LY,1651351809
La Palma,33.8464,-118.0467,88.95,53,20,11.5,US,1651351809
Cherskiy,68.75,161.3,14.11,90,85,5.93,RU,1651351809
Port Lincoln,-34.7333,135.8667,58.24,85,16,8.28,AU,1651351809
Port Hardy,50.6996,-127.4199,55.58,67,40,8.05,CA,1651351809
Saskylakh,71.9167,114.0833,9.79,91,100,16.91,RU,1651351809
Atikokan,48.7555,-91.6216,40.71,85,100,14.05,CA,1651351809
Ratnagiri,16.9833,73.3,80.11,81,0,6.17,IN,1651351809
Portland,45.5234,-122.6762,57.24,82,75,10.36,US,1651351809
Grand Forks,47.9417,-97.4337,44.33,93,100,16.11,US,1651351809
Provideniya,64.3833,-173.3,31.59,89,100,16.17,RU,1651351809
Kalengwa,-13.4659,25.0027,57.79,70,5,5.03,ZM,1651351809
Shunde,22.8504,113.247,72.05,88,100,13.98,CN,1651351809
Upernavik,72.7868,-56.1549,16.66,73,53,1.88,GL,1651351809
Leningradskiy,69.3833,178.4167,11.88,88,57,4.0,RU,1651351809
Port Alfred,-33.5906,26.891,56.17,84,1,1.99,ZA,1651351809
Kangaatsiaq,68.3065,-53.4641,20.28,74,9,11.7,GL,1651351809
Narón,43.5167,-8.1528,59.85,89,9,4.34,ES,1651351809
Mago,53.2514,140.1822,30.97,92,100,1.68,RU,1651351809
Port Elizabeth,-33.918,25.5701,60.31,79,5,5.99,ZA,1651351809
Mohelnice,49.777,16.9195,53.28,71,100,2.98,CZ,1651351809
Manicoré,-5.8092,-61.3003,79.56,85,62,1.34,BR,1651351809
Sistranda,63.7256,8.834,42.76,80,96,16.06,NO,1651351809
Safi,32.2994,-9.2372,63.61,79,100,10.83,MA,1651351809
Constitución,-35.3333,-72.4167,58.59,58,3,13.71,CL,1651351809
Ancud,-41.8697,-73.8203,50.85,85,100,6.64,CL,1651351809
Brae,60.3964,-1.353,45.0,77,90,12.26,GB,1651351809
Hofn,64.2539,-15.2082,47.5,83,15,7.18,IS,1651351809
Bairiki Village,1.3292,172.9752,78.8,94,75,1.14,KI,1651351809
Mackenzie,55.2999,-123.1698,50.22,43,0,5.75,CA,1651351809
Tagbac,7.089,125.1567,70.47,94,62,2.08,PH,1651351809
Katangli,51.7102,143.2326,30.92,98,100,5.48,RU,1651351809
Leshukonskoye,64.8989,45.7622,20.93,95,74,3.91,RU,1651351809
Andenes,69.3143,16.1194,31.98,86,75,6.91,NO,1651351809
Vanimo,-2.6741,141.3028,77.07,85,98,2.91,PG,1651351809
Imeni Poliny Osipenko,52.4201,136.4853,30.2,85,100,6.15,RU,1651351809
Calabozo,8.9242,-67.4293,78.75,81,100,6.46,VE,1651351809
Chokurdakh,70.6333,147.9167,15.03,93,43,7.85,RU,1651351809
Cosalá,24.4125,-106.6908,96.91,9,53,9.84,MX,1651351809
Puerto Escondido,15.85,-97.0667,87.58,55,3,8.52,MX,1651351809
San Patricio,28.017,-97.5169,86.72,59,75,16.35,US,1651351809
Esmeraldas,-19.7625,-44.3139,80.71,53,95,5.21,BR,1651351809
Cururupu,-1.8283,-44.8683,75.76,93,91,3.4,BR,1651351809
Kahului,20.8947,-156.47,78.82,71,40,18.41,US,1651351809
Saldanha,-33.0117,17.9442,55.45,88,8,12.37,ZA,1651351809
La Cruz,23.9167,-106.9,83.97,37,47,11.43,MX,1651351809
Mount Gambier,-37.8333,140.7667,55.31,100,75,10.36,AU,1651351809
Angoche,-16.2325,39.9086,72.5,89,13,7.29,MZ,1651351809
Aktau,43.65,51.2,59.58,75,21,17.0,KZ,1651351809
Kampot,10.6167,104.1833,77.05,82,100,2.84,KH,1651351809
Leh,34.1667,77.5833,42.96,65,91,2.21,IN,1651351809
Byron Bay,-28.65,153.6167,64.29,89,100,11.72,AU,1651351809
Juneau,58.3019,-134.4197,54.84,73,20,10.36,US,1651351809
Ambon City,-3.6954,128.1814,80.69,80,29,1.59,ID,1651351809
Pudozh,61.8099,36.5345,32.27,95,100,7.47,RU,1651351809
Abū Zabad,12.35,29.25,86.9,9,14,9.75,SD,1651351809
Mar del Plata,-38.0023,-57.5575,55.87,60,0,12.66,AR,1651351809
Vostok,46.4856,135.8833,35.26,80,100,3.65,RU,1651351809
Belyy Yar,53.6039,91.3903,55.24,51,27,3.91,RU,1651351809
Tasiilaq,65.6145,-37.6368,41.16,69,14,1.05,GL,1651351809
Castro,-24.7911,-50.0119,62.33,92,41,4.21,BR,1651351809
Plumbon,-6.705,108.4728,77.77,89,100,5.01,ID,1651351809
Bandarbeyla,9.4942,50.8122,83.88,74,81,2.93,SO,1651351809
Lavrentiya,65.5833,-171.0,26.6,84,100,14.63,RU,1651351809
Ponta do Sol,32.6667,-17.1,68.0,69,0,2.53,PT,1651351809
Tuktoyaktuk,69.4541,-133.0374,32.0,74,20,9.22,CA,1651351809
Weligama,5.9667,80.4167,80.69,85,98,10.16,LK,1651351809
Bathsheba,13.2167,-59.5167,84.81,74,20,14.97,BB,1651351809
Tiksi,71.6872,128.8694,34.2,91,100,16.11,RU,1651351809
Ust-Tsilma,65.441,52.1498,22.23,94,88,4.0,RU,1651351809
Bad Münstereifel,50.55,6.7667,47.34,72,68,3.58,DE,1651351809
Zonguldak,41.25,31.8333,47.52,99,96,1.25,TR,1651351809
Cockburn Town,21.4612,-71.1419,80.56,61,40,17.27,TC,1651351809
Tuatapere,-46.1333,167.6833,57.51,81,100,10.83,NZ,1651351809
Yar,58.249,52.1026,34.99,94,100,7.14,RU,1651351809
Stillwater,36.1156,-97.0584,76.55,39,0,11.5,US,1651351809
Namatanai,-3.6667,152.4333,79.75,81,83,2.84,PG,1651351809
Clyde River,70.4692,-68.5914,16.03,86,100,3.44,CA,1651351809
Laguna,38.421,-121.4238,82.06,37,0,6.91,US,1651351809
Natal,-5.795,-35.2094,84.42,70,20,13.8,BR,1651351809
Bilma,18.6853,12.9164,94.69,8,69,5.59,NE,1651351809
Muzhi,65.3667,64.6667,22.14,96,100,3.65,RU,1651351809
Burnie,-41.0667,145.9167,57.94,94,99,12.75,AU,1651351809
Nouadhibou,20.931,-17.0347,66.18,82,99,14.97,MR,1651351809
Laas,46.6166,10.7002,44.37,96,99,3.76,IT,1651351809
Mayahi,13.9553,7.6712,95.14,17,97,3.44,NE,1651351809
Klaksvík,62.2266,-6.589,41.92,88,28,8.63,FO,1651351809
Verkhoyansk,67.5447,133.385,18.77,85,78,6.15,RU,1651351809
Myanaung,18.2833,95.3167,79.32,77,5,6.58,MM,1651351809
Rocha,-34.4833,-54.3333,55.44,71,97,3.38,UY,1651351809
Keelung,25.1283,121.7419,67.95,89,100,14.45,TW,1651351809
Kokoda,-8.8785,147.7407,75.52,95,96,0.34,PG,1651351809
Cairns,-16.9167,145.7667,74.07,90,40,10.36,AU,1651351809
Morro Bay,35.3658,-120.8499,86.25,50,8,8.99,US,1651351809
Gōtsuchō,35.0,132.2167,53.04,80,100,5.28,JP,1651351809
Poum,-20.2333,164.0167,75.99,77,1,5.99,NC,1651351809
Juxtlahuaca,17.4294,-99.1467,93.09,20,73,11.23,MX,1651351809
Bereda,43.2686,-7.5406,53.15,96,11,2.51,ES,1651351809
Chui,-33.6971,-53.4616,55.44,70,100,3.78,UY,1651351809
Flinders,-34.5833,150.8552,55.06,77,0,3.0,AU,1651351809
Cervo,43.6702,-7.4101,55.96,87,11,4.79,ES,1651351809
Aklavik,68.2191,-135.0107,46.4,49,40,5.75,CA,1651351809
Pevek,69.7008,170.3133,4.48,96,97,5.77,RU,1651351809
Goderich,43.7501,-81.7165,64.72,25,100,11.5,CA,1651351809
Khovd,48.0056,91.6419,49.86,26,98,7.72,MN,1651351809
Orlik,52.5178,99.825,36.09,74,34,2.48,RU,1651351809
Bambous Virieux,-20.3428,57.7575,77.25,83,40,8.05,MU,1651351809
Fairview,40.8126,-73.999,69.62,19,0,13.8,US,1651351809
Gigmoto,13.7796,124.39,79.75,83,84,6.96,PH,1651351809
Luba,3.4568,8.5547,81.0,82,21,4.38,GQ,1651351809
Alofi,-19.0595,-169.9187,76.89,94,91,3.44,NU,1651351809
Xiaoweizhai,26.1903,107.5125,51.01,85,100,10.56,CN,1651351809
Saint Paul Harbor,57.79,-152.4072,38.71,93,100,35.68,US,1651351809
Qingyuan,23.7,113.0333,64.38,94,100,8.7,CN,1651351809
Ilulissat,69.2167,-51.1,24.82,46,0,16.11,GL,1651351809
Taikang,46.8333,124.4167,36.25,79,100,16.2,CN,1651351809
Outjo,-20.1167,16.15,66.7,48,17,7.09,NA,1651351809
Quelimane,-17.8786,36.8883,75.15,88,0,3.44,MZ,1651351809
Waipawa,-41.4122,175.5153,52.66,76,76,9.53,NZ,1651351809
Zabul Province,32.25,67.25,69.24,15,0,8.41,AF,1651351809
Yamada,39.4667,141.95,46.06,72,100,10.74,JP,1651351809
Qaqortoq,60.7167,-46.0333,40.08,77,56,2.84,GL,1651351809
Hong Kong,22.2855,114.1577,77.32,86,100,15.01,HK,1651351809
Husavik,66.0449,-17.3389,49.42,60,100,7.09,IS,1651351809
Malartic,48.1335,-78.1328,55.51,44,6,7.11,CA,1651351809
Mahébourg,-20.4081,57.7,77.29,83,40,8.05,MU,1651351809
Mareeba,-17.0,145.4333,69.44,93,82,1.68,AU,1651351809
Cradock,-32.1642,25.6192,53.2,57,1,2.62,ZA,1651351809
Anchorage,61.2181,-149.9003,49.08,59,0,5.75,US,1651351809
Wellington,-41.2866,174.7756,60.06,85,100,21.85,NZ,1651351809
Dakoro,14.5106,6.765,96.53,12,65,6.11,NE,1651351809
Härnösand,62.6323,17.9379,44.62,70,68,9.8,SE,1651351809
Walvis Bay,-22.9575,14.5053,57.09,88,0,2.3,NA,1651351809
Uusikaupunki,60.8004,21.4084,38.23,86,76,5.3,FI,1651351809
Vao,-22.6667,167.4833,75.06,83,71,23.67,NC,1651351809
Esperance,-33.8667,121.9,53.44,67,0,6.6,AU,1651351809
Toba,34.4833,136.85,63.09,79,100,3.0,JP,1651351809
Santa Cruz de La Palma,28.6835,-17.7642,68.14,77,20,14.97,ES,1651351809
Bako,5.7833,36.5667,62.31,91,95,3.53,ET,1651351809
Abonnema,4.7084,6.7931,78.75,83,100,4.65,NG,1651351809
Fortuna,40.5982,-124.1573,58.66,88,75,8.05,US,1651351809
Kabompo,-13.5927,24.2008,58.66,74,4,4.41,ZM,1651351809
Alta Floresta,-9.8756,-56.0861,93.02,40,20,5.75,BR,1651351809
Inhambane,-23.865,35.3833,67.78,85,3,6.44,MZ,1651351809
Yumen,40.2833,97.2,44.6,31,0,3.83,CN,1651351809
São Félix do Xingu,-6.6447,-51.995,76.41,92,85,1.97,BR,1651351809
Buala,-8.145,159.5921,80.96,78,100,1.16,SB,1651351809
Beyneu,45.3167,55.2,63.82,74,41,8.88,KZ,1651351809
Kibre Mengist,5.8833,38.9833,57.61,97,97,2.33,ET,1651351809
Ejido Hermosillo,32.5121,-114.9238,96.51,5,3,6.2,MX,1651351809
